id,name,genre,developers,publishers,releaseDates
88,Anno: Mutantionem,[],['ThinkingStars'],['ThinkingStars'],"{'Japan': 'TBA', 'NorthAmerica': 'TBA', 'Europe': 'TBA', 'Australia': 'TBA'}"
89,Anodyne,[],['Analgesic Productions'],['Nnooo'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Sep 19, 2018', 'Europe': 'Sep 18, 2018', 'Australia': 'Sep 18, 2018'}"
90,Anoko wa Ore kara Hanarenai,[],['Giga'],['Technical Group Laboratory'],"{'Japan': 'Dec 18, 2014', 'NorthAmerica': 'Unreleased', 'Europe': 'Unreleased', 'Australia': 'Unreleased'}"
91,Anomaly 2,[],['11 bit studios'],['11 bit studios'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Sep 17, 2014', 'Europe': 'Sep 16, 2014', 'Australia': 'Sep 16, 2014'}"
92,Anonymous;Code,[],"['5pb., Chiyomaru Studio']",['5pb.'],"{'Japan': 'TBA', 'NorthAmerica': 'Unreleased', 'Europe': 'Unreleased', 'Australia': 'Unreleased'}"
93,Another World: 20th Anniversary Edition,['Cinematic platformer'],['The Digital Lounge'],['The Digital Lounge'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jun 25, 2014', 'Europe': 'Jun 25, 2014', 'Australia': 'Jun 25, 2014'}"
94,Anthem,[],['BioWare'],['Electronic Arts'],"{'Japan': 'Feb 22, 2019', 'NorthAmerica': 'Feb 22, 2019', 'Europe': 'Feb 22, 2019', 'Australia': 'Feb 22, 2019'}"
95,Antiquia Lost,[],['Exe Create'],['Kemco'],"{'Japan': 'Aug 16, 2017', 'NorthAmerica': 'Sep 5, 2017', 'Europe': 'Sep 5, 2017', 'Australia': 'Sep 5, 2017'}"
96,AO Tennis,[],['Big Ant Studios'],['Big Ant Studios'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jan 16, 2018', 'Europe': 'May 8, 2018', 'Australia': 'May 8, 2018'}"
97,A Pixel Story,[],['Lamplight Studios'],['Rising Star Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Feb 24, 2017', 'Europe': 'Feb 24, 2017', 'Australia': 'Feb 24, 2017'}"
98,A Plague Tale: Innocence,[],['Asobo Studio'],"['JP: Oizumi Amuseo', 'WW: Focus Home Interactive']","{'Japan': 'Nov 28, 2019', 'NorthAmerica': 'May 14, 2019', 'Europe': 'May 14, 2019', 'Australia': 'May 14, 2019'}"
99,Apocalypse,['Action role-playing'],['Future Tech'],['Future Tech'],"{'Japan': 'Unreleased', 'NorthAmerica': 'TBA', 'Europe': 'TBA', 'Australia': 'TBA'}"
100,Apotheon,[],['Alientrap'],['Alientrap'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Feb 3, 2015', 'Europe': 'Feb 3, 2015', 'Australia': 'Feb 3, 2015'}"
101,Aqua Moto Racing Utopia,['Racing'],['Zordix'],['Zordix'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Nov 30, 2016', 'Europe': 'Nov 29, 2016', 'Australia': 'Nov 29, 2016'}"
102,The Aquatic Adventure of the Last Human,[],['YCJY Games'],['Digerati'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jan 24, 2018', 'Europe': 'Jan 23, 2018', 'Australia': 'Jan 23, 2018'}"
103,Aragami,[],['Lince Works'],['Merge Games'],"{'Japan': 'Oct 4, 2016', 'NorthAmerica': 'Oct 4, 2016', 'Europe': 'Oct 4, 2016', 'Australia': 'Oct 4, 2016'}"
104,Arcade Archives: A-Z,[],['Assorted'],['Hamster Corporation'],"{'Japan': 'Assorted', 'NorthAmerica': 'Assorted', 'Europe': 'Assorted', 'Australia': 'Assorted'}"
105,Arcade Classics Anniversary Collection,[],['Konami'],['Konami'],"{'Japan': 'Jun 12, 2019', 'NorthAmerica': 'Apr 18, 2019', 'Europe': 'Apr 18, 2019', 'Australia': 'Apr 18, 2019'}"
106,Arcade Game Series: A-Z,[],['Assorted'],['Bandai Namco Entertainment'],"{'Japan': 'Assorted', 'NorthAmerica': 'Assorted', 'Europe': 'Assorted', 'Australia': 'Assorted'}"
107,Arcania: The Complete Tale,[],['Black Forest Games'],['Nordic Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'May 8, 2015', 'Europe': 'May 12, 2015', 'Australia': 'May 12, 2015'}"
108,Arc of Alchemist,[],['Compile Heart'],['Idea Factory'],"{'Japan': 'Feb 7, 2019', 'NorthAmerica': 'Jan 31, 2020', 'Europe': 'Jan 30, 2020', 'Australia': 'Jan 30, 2020'}"
109,Arise: A Simple Story,[],['Piccolo Studio'],['Techland Publishing'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Dec 3, 2019', 'Europe': 'Dec 3, 2019', 'Australia': 'Dec 3, 2019'}"
110,Ark: Survival Evolved,[],['Studio Wildcard'],['Studio Wildcard'],"{'Japan': 'Oct 26, 2017', 'NorthAmerica': 'Aug 29, 2017', 'Europe': 'Aug 29, 2017', 'Australia': 'Aug 29, 2017'}"
111,Armello,[],['League of Geeks'],['League of Geeks'],"{'Japan': 'Sep 2, 2015', 'NorthAmerica': 'Sep 1, 2015', 'Europe': 'Sep 1, 2015', 'Australia': 'Sep 1, 2015'}"
